Gene,IFNa,IFNg,celltype_level,subset
C12orf57,-0.393584972,-0.176491956,L1,Bcell
MAPK8IP3,-0.392529835,-0.447104442,L1,Bcell
TGFBR2,-0.390123709,0.103412082,L1,Bcell
FNBP1,-0.389845726,-0.227276514,L1,Bcell
PTOV1,-0.389292885,-0.225864686,L1,Bcell
FADS3,-0.387462107,-0.496701736,L1,Bcell
PRDM2,-0.386703144,-0.476809744,L1,Bcell
RASSF2,-0.38666193,-0.420008793,L1,Bcell
LSR,-0.38645414,-0.381391012,L1,Bcell
CENPM,-0.385879275,-0.691332168,L1,Bcell
HPCAL1,-0.384760455,-0.365095933,L1,Bcell
PLEKHO1,0.384037477,0.61389645,L1,Bcell
C12orf42,-0.382038884,-0.534763889,L1,Bcell
CD83,-0.380790333,-0.491599163,L1,Bcell
EEF1B2,-0.379585214,0.084560482,L1,Bcell
MFN1,0.378045171,0.080816848,L1,Bcell
CD164,0.377401964,0.065083969,L1,Bcell
UCP2,-0.376437712,-0.235442631,L1,Bcell
TRIM26,0.376404698,0.269579409,L1,Bcell
MVP,0.370850646,0.598661547,L1,Bcell
B4GALT1,-0.369661053,-0.409226525,L1,Bcell
SOD2,-0.369293127,0.811580984,L1,Bcell
TRIM38,0.367764048,0.006397994,L1,Bcell
TPP1,-0.364546864,-0.14946259,L1,Bcell
CKLF,-0.364073179,-0.306937253,L1,Bcell
IL16,-0.36403452,-0.442965827,L1,Bcell
SGSH,-0.362932946,-0.460511413,L1,Bcell
CERK,-0.360211109,-0.401259666,L1,Bcell
ITPKB,-0.357063045,-0.601362801,L1,Bcell
BACH1,-0.355303536,-0.347542942,L1,Bcell
DIP2B,0.354757725,-0.027499057,L1,Bcell
KLHL5,-0.354093663,-0.316800195,L1,Bcell
TPCN1,-0.353744952,-0.425186726,L1,Bcell
SLC38A5,0.352270732,0,L1,Bcell
KAT6B,-0.351822694,-0.395784272,L1,Bcell
CNDP2,0.349365092,0.693791171,L1,Bcell
ZNF318,-0.348351953,-0.574906565,L1,Bcell
INF2,-0.346932121,-0.53277569,L1,Bcell
RFTN1,-0.343190842,-0.342664536,L1,Bcell
MAN2A2,-0.343174528,-0.491473732,L1,Bcell
RUBCNL,-0.34283732,-0.094805674,L1,Bcell
AFF3,-0.342277911,-0.38696178,L1,Bcell
WNK1,-0.341399521,-0.263819527,L1,Bcell
VEGFB,-0.340667611,-0.409543984,L1,Bcell
DNAJA1,0.339941223,0.390210398,L1,Bcell
IRF2,0.337569004,0.860494685,L1,Bcell
SLC6A16,-0.337496112,-0.588395243,L1,Bcell
ELMO1,0.33695201,0.196983744,L1,Bcell
RAB37,-0.336800057,-0.472172141,L1,Bcell
PRKAG2,0.336144909,-0.036567892,L1,Bcell
FER,-0.332580238,-0.469531457,L1,Bcell
GRASP,-0.330289591,-0.578203502,L1,Bcell
REL,-0.327894512,-0.452918446,L1,Bcell
GPR180,0.327709821,0.028063382,L1,Bcell
SMAP2,-0.327421467,-0.452324409,L1,Bcell
FCHO1,-0.327248476,-0.368208804,L1,Bcell
GPR183,-0.326067334,-0.91000261,L1,Bcell
ELF4,0.326030967,0.181103737,L1,Bcell
BAZ1A,0.32596615,0.42622503,L1,Bcell
IRF1,0.325168878,2.597211184,L1,Bcell
KLF7,-0.324500681,-0.518034828,L1,Bcell
NLRP1,-0.323047909,-0.508744161,L1,Bcell
BRI3,-0.321965016,-0.299816,L1,Bcell
ELF1,0.321907565,-0.144818854,L1,Bcell
PPFIBP2,-0.316911517,-0.404394463,L1,Bcell
